aua,sa,res_state_name
360000.0,360000,Uttar Pradesh
360000.0,360000,Maharashtra
360000.0,360000,Maharashtra
360000.0,360000,Maharashtra
360000.0,360000,Maharashtra
360000.0,360000,Karnataka
360000.0,360000,Maharashtra
340000.0,340000,Andhra Pradesh
360000.0,360000,Karnataka
360000.0,360000,Karnataka
360000.0,360000,Karnataka
360000.0,360000,Karnataka
140000.0,140000,Andhra Pradesh
740000.0,740000,Uttarakhand
340000.0,340000,Andhra Pradesh
340000.0,340000,West Bengal
340000.0,340000,West Bengal
340000.0,340000,West Bengal
360000.0,360000,Karnataka
360000.0,360000,Karnataka
140000.0,140000,Andhra Pradesh
360000.0,360000,Karnataka
360000.0,360000,Karnataka
360000.0,360000,Karnataka
360000.0,360000,Karnataka
360000.0,360000,Karnataka
360000.0,360000,Maharashtra
360000.0,360000,Maharashtra
360000.0,360000,Karnataka
360000.0,360000,Maharashtra
360000.0,360000,Himachal Pradesh
360000.0,360000,Karnataka
360000.0,360000,Karnataka
140000.0,140000,Andhra Pradesh
340000.0,340000,West Bengal
340000.0,340000,West Bengal
340000.0,340000,West Bengal
340000.0,340000,West Bengal
360000.0,360000,Karnataka
360000.0,360000,Karnataka
360000.0,360000,Karnataka
360000.0,360000,Karnataka
360000.0,360000,Karnataka
360000.0,360000,Karnataka
360000.0,360000,Karnataka
360000.0,360000,Andhra Pradesh
360000.0,360000,Andhra Pradesh
140000.0,140000,Andhra Pradesh
360000.0,360000,Andhra Pradesh
360000.0,360000,Andhra Pradesh
360000.0,360000,Andhra Pradesh
360000.0,360000,Andhra Pradesh
360000.0,360000,Andhra Pradesh
360000.0,360000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Telangana
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Telangana
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Telangana
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Karnataka
210000.0,210000,Karnataka
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Karnataka
360000.0,360000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
360000.0,360000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
